type,f_address,Match_addr,Longitude,Latitude,Addr_type,Score,Status,Region,RegionAbbr,Subregion,MetroArea,City,Nbrhd,geometry,Match_type,LongLabel,ShortLabel,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,District,Territory,Zone,Postal,PostalExt,Country,CntryName,LangCode,Distance,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo
arpa_spending_status,"828 N Clinton Ave, Rochester, NY 14605","828 N Clinton Ave, Rochester, New York, 14605",-77.6128171150913,43.17365468398574,StreetAddress,100.0,M,New York,NY,Monroe County,,Rochester,Upper Falls,POINT (-77.61281711499998 43.17365468400004),A,"828 N Clinton Ave, Rochester, NY, 14605, USA",828 N Clinton Ave,,,"828 N Clinton Ave, Rochester, New York, 14605",,,20.0,,828,812,828,812-828,R,N,,Clinton,Ave,,,,,,,,,828 N Clinton Ave,,,,,,14605,1157,USA,United States,ENG,0.0,-77.6128171150913,43.17365468398574,-77.61381711509131,-77.6118171150913,43.17265468398574,43.174654683985736,
arpa_spending_status,"819 W Main St, Rochester, NY 14611","819 W Main St, Rochester, New York, 14611",-77.6345895,43.150464,PointAddress,100.0,M,New York,NY,Monroe County,,Rochester,,POINT (-77.63458949999995 43.15046400000006),A,"819 W Main St, Rochester, NY, 14611, USA",819 W Main St,,,"819 W Main St, Rochester, New York, 14611",,,20.0,,819,,,,,W,,Main,St,,,,,,,,,819 W Main St,,,,,,14611,2334,USA,United States,ENG,0.0,-77.6345895,43.150464,-77.63558950000001,-77.6335895,43.149464,43.151464,
arpa_spending_status,"draft addresses attached, to be verified by NBDRochester, NY",,0.0,0.0,,0.0,U,,,,,,,,A,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
arpa_spending_status,"280 Exchange Blvd, Rochester, NY 14608","280 Exchange Blvd, Rochester, New York, 14608",-77.610564,43.14986999999999,PointAddress,100.0,M,New York,NY,Monroe County,,Rochester,,POINT (-77.61056399999995 43.14987000000008),A,"280 Exchange Blvd, Rochester, NY, 14608, USA",280 Exchange Blvd,,,"280 Exchange Blvd, Rochester, New York, 14608",,,20.0,,280,,,,,,,Exchange,Blvd,,,,,,,,,280 Exchange Blvd,,,,,,14608,2707,USA,United States,ENG,0.0,-77.610564,43.14986999999999,-77.611564,-77.60956399999999,43.148869999999995,43.15086999999999,
arpa_spending_status,"locations to be determinedRochester, NY",,0.0,0.0,,0.0,U,,,,,,,,A,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
arpa_spending_status,"see sheet for projects underway, new sites to be identified through application processRochester, NY",,0.0,0.0,,0.0,U,,,,,,,,A,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
arpa_spending_status,"see sheet for projects underway, new sites to be identified through application processRochester, NY",,0.0,0.0,,0.0,U,,,,,,,,A,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
buy_the_block_phase_1,"25 Barons Street, Rochester, NY","25 Barons St, Rochester, New York, 14605",-77.601726,43.17471900000001,PointAddress,100.0,M,New York,NY,Monroe County,,Rochester,,POINT (-77.60172599999999 43.17471900000004),A,"25 Barons St, Rochester, NY, 14605, USA",25 Barons St,,,"25 Barons St, Rochester, New York, 14605",,,20.0,,25,,,,,,,Barons,St,,,,,,,,,25 Barons St,,,,,,14605,1301,USA,United States,ENG,0.0,-77.601726,43.17471900000001,-77.602726,-77.600726,43.17371900000001,43.17571900000001,
buy_the_block_phase_1,"40 Barons Street, Rochester, NY","40 Barons St, Rochester, New York, 14605",-77.6011635,43.174926,PointAddress,100.0,M,New York,NY,Monroe County,,Rochester,,POINT (-77.60116349999998 43.17492600000003),A,"40 Barons St, Rochester, NY, 14605, USA",40 Barons St,,,"40 Barons St, Rochester, New York, 14605",,,20.0,,40,,,,,,,Barons,St,,,,,,,,,40 Barons St,,,,,,14605,1302,USA,United States,ENG,0.0,-77.6011635,43.174926,-77.6021635,-77.6001635,43.173926,43.175926,
buy_the_block_phase_1,"825 Clifford Avenue, Rochester, NY","825 Clifford Ave, Rochester, New York, 14621",-77.60099699999999,43.175141999999994,PointAddress,100.0,M,New York,NY,Monroe County,,Rochester,,POINT (-77.60099699999995 43.17514200000005),A,"825 Clifford Ave, Rochester, NY, 14621, USA",825 Clifford Ave,,,"825 Clifford Ave, Rochester, New York, 14621",,,20.0,,825,,,,,,,Clifford,Ave,,,,,,,,,825 Clifford Ave,,,,,,14621,5746,USA,United States,ENG,0.0,-77.60099699999999,43.175141999999994,-77.601997,-77.59999699999999,43.174141999999996,43.17614199999999,
